"Sr No","Street Address","City","State","Postal Code","Country","GLM API ID","Network","AddressStatus","Correct GLM Stree Adress"
"","1525 E HARTMAN CT","OMAHA","NE","68110","","PL0001083335","On-Net","",""
"","1528 SE BYBEE BLVD","PORTLAND","OR","97202","","PL0003541472","On-Net","",""
"","1590 INNOVATION DRIVE","DUBUQUE","IA","52002","","PL0007915700","On-Net","",""
"","15960 CHAMBERLIN PARKWAY","FORT MYERS","FL","33913","","PL0001083228","On-Net","",""
"","160 W BROADWAY AVE","JACKSON HOLE","WY","83001","","PL0013951618","On-Net","",""
"","1619 DEL PRADO BLVD S","CAPE CORAL","FL","33990","","PL0001578776","On-Net","",""
"","1632 NORTH 2000 WEST","CLINTON","UT","84015","","PL0001547262","On-Net","","1632 N 2000 W"
"","16710 E QUINCY AVE","AURORA","CO","80015","","PL0001615232","On-Net","",""
"","16811 BURKE ST","OMAHA","NE","68118","","PL0000209186","On-Net","",""
"","1701 THIESSE RD","BRAINERD","MN","56401","","PL0011888705","On-Net","",""
"","1705 WEST ARGENT ROAD","PASCO","WA","99301","","PL0001083289","On-Net","","1705 W ARGENT RD"
"","1767 AVIATION PL","BILLINGS","MT","59105","","PL0001082745","On-Net","",""
"","17748 S GOLDEN RD","GOLDEN","CO","80401","","PL0003541732","On-Net","",""
"","1777 WALKER STREET","HOUSTON","TX","77010","","PL0000931438","On-Net","",""
"","1813 PACIFIC AVENUE","CHEYENNE","WY","82007","","PL0001083539","On-Net","",""
"","18201 WRIGHT STREET","OMAHA","NE","68130","","PL0000621237","On-Net","",""
"","1901 KROE LANE","SHERIDAN","WY","82801","","PL0003541696","On-Net","",""
"","1920 S STAPLEY DR","MESA","AZ","85204","","PL0000813218","On-Net","",""
"","1940 S VAL VISTA DR","MESA","AZ","85204","","PL0000605858","On-Net","",""
"","19574 MOLALLA AVE","OREGON CITY","OR","97045","","PL0001315371","On-Net","",""
"","1958 DELL RANGE BLVD","CHEYENNE","WY","82009","","PL0019073962","On-Net","",""
"","2035 TAYLOR AVE","LOUISVILLE","CO","80027","","PL0013378048","On-Net","",""
"","2058 SUMMIT LAKE DRIVE","TALLAHASSEE","FL","32317","","PL0008288409","On-Net","",""
"","20750 BRINSON BOULEVARD","BEND","OR","97701","","PL0013829776","On-Net","",""
"","2087 FEDERAL WAY","IDAHO FALLS","ID","83402","","PL0001083109","On-Net","",""
"","209 BRIAN AVENUE","SILVERTHORNE","CO","80498","","PL0025208840","On-Net","",""
"","21055 E RITTENHOUSE RD","QUEEN CREEK","AZ","85142","","PL0000705129","On-Net","",""
"","2124 E GRAND AVE","LARAMIE","WY","82070","","PL0003541702","On-Net","",""
"","21655 N LAKE PLEASANT PKWY","PEORIA","AZ","85382","","PL0000996283","On-Net","",""
"","2189 SNELLING AVE N","ROSEVILLE","MN","55113","","PL0000715649","On-Net","",""
"","2200 JUAN TABO BLVD NE","ALBUQUERQUE","NM","87112","","PL0003736147","On-Net","",""
"","221 SOUTH OREGON AVENUE","PASCO","WA","99301","","PL0002467137","On-Net","","221 S OREGON AVE"
"","2225 MURRAY STREET","SIOUX CITY","IA","51111","","PL0003542050","On-Net","",""
"","23 OLD RUBY RD","NOGALES","AZ","85621","","PL0013010889","On-Net","",""
"","2315 EDGEWOOD RD SW","CEDAR RAPIDS","IA","52404","","PL0002086045","On-Net","",""
"","2320 ELKHORN RD","LEXINGTON","KY","40509","","PL0001320994","Off-Net","",""
"","2320 W PEORIA AVE","PHOENIX","AZ","85029","","PL0000064493","Off-Net","",""
"","2320 WEST AIRLINE HIGHWAY","WATERLOO","IA","50703","","PL0001083988","On-Net","","2320 W AIRLINE HWY"
"","2323 TERMINAL ROAD","ROSEVILLE","MN","55113","","PL0001083636","On-Net","",""
"","2325 SOUTH 3200 WEST","WEST VALLEY CITY","UT","84119","","PL0000255936","On-Net","","2325 S 3200 W"
"","2349 AVIATION DRIVE","INDIANAPOLIS","IN","46241","","PL0000008853","On-Net","",""
"","2350 EAST SAINT PATRICK STREET","RAPID CITY","SD","57703","","PL0001083333","On-Net","",""
"","2367 VANDERBILT BEACH RD","NAPLES","FL","34109","","PL0003542256","On-Net","",""
"","238 ALEXANDER AVENUE","AMES","IA","50010","","PL0001082776","On-Net","",""
"","2400 E MISSOURI AVENUE","PHOENIX","AZ","85016","","PL0000037655","On-Net","",""
"","2490 S 7600 W","MAGNA","UT","84044","","PL0037219444","On-Net","",""
"","2503 FRANK ALBERT ROAD","TACOMA","WA","98424","","PL0001090827","On-Net","",""
"","250397 APRON DRIVE","SCOTTSBLUFF","NE","69361","","PL0001082724","On-Net","",""
"","2514 MAIN STREET","LONGMONT","CO","80504","","PL0001579178","On-Net","",""
"","2535 JORIE LN NE","KEIZER","OR","97303","","PL0000448130","On-Net","",""
"","2542 CAMINO ENTRADA","SANTA FE","NM","87507","","PL0001083244","On-Net","",""
"","2595 COMMERCIAL ST SE","SALEM","OR","97302","","PL0003541467","On-Net","",""
"","26 ALLEGIANCE CIRCLE","EVANSTON","WY","82930","","PL0003541695","On-Net","",""
"","2615 SE 23RD DRIVE","LINCOLN CITY","OR","97367","","PL0001084493","On-Net","",""
"","2622 LOCKHEED LANE","BOISE","ID","83705","","PL0001082791","On-Net","",""
"","2650 EAST QUEEN CREEK RD","CHANDLER","AZ","85286","","PL0003541655","On-Net","",""
"","2777 GARRETT WAY","POCATELLO","ID","83201","","PL0001083243","On-Net","",""
"","2801 COMMERCE DR","CORALVILLE","IA","52241","","PL0007785272","On-Net","",""
"","2801 GOODMAN ROAD","UNION GAP","WA","98903","","PL0003541427","On-Net","",""
"","2820 B STREET NW","AUBURN","WA","98001","","PL0001084157","On-Net","",""
"","2825 CARGO ROAD","MINNEAPOLIS","MN","55450","","PL0001083191","On-Net","",""
"","2830 KILLPECKER DRIVE","ROCK SPRINGS","WY","82901","","PL0012436429","On-Net","",""
"","2855 WEST LOCKHEED LANE","BOISE","ID","83705","","PL0001082793","On-Net","","2855 W LOCKHEED LN"
"","28564 WESTPORT LANE","HERMISTON","OR","97838","","PL0008288000","On-Net","",""
"","2900 25TH STREET SOUTHEAST","SALEM","OR","97302","","PL0001083358","On-Net","","2900 25TH ST SE"
"","2901 WEST 7TH STREET","SIOUX FALLS","SD","57104","","PL0001083884","On-Net","","2901 W 7TH ST"
"","300 MOSSY HEAD PLAZA","DEFUNIAK SPRINGS","FL","32435","","PL0013829869","On-Net","",""
"","3002 EAST OLD TOWER ROAD","PHOENIX","AZ","85034","","PL0001083233","On-Net","",""
"","3023 ARMY POST ROAD","DES MOINES","IA","50321","","PL0003542053","On-Net","",""
"","3032 W MONTAGUE AVE","NORTH CHARLESTON","SC","29418","","PL0001649224","Off-Net","",""
"","3042 NE 45TH ST","SEATTLE","WA","98105","","PL0000128876","On-Net","",""
"","3102 WEST WASHINGTON AVENUE","YAKIMA","WA","98903","","PL0001083413","On-Net","","3102 W WASHINGTON AVE"
"","3105 TROTT AVENUE SW","WILLMAR","MN","56201","","PL0038539365","On-Net","",""
"","3110 E FLORENCE DR","MERIDIAN","ID","83642","","PL0001316885","On-Net","",""
"","3120 BLOSSOM DRIVE NORTHEAST","SALEM","OR","97305","","PL0001083908","On-Net","","3120 BLOSSOM DR NE"
"","3225 W. WILDWOOD DR.","GRAND ISLAND","NE","68801","","PL0022459790","On-Net","","3225 W WILDWOOD DR"
"","3243 DUGGLEBY DRIVE","CODY","WY","82414","","PL0001083359","On-Net","",""
"","3295 GREENWALD WAY N","KISSIMMEE","FL","34741","","PL0003852154","On-Net","",""
"","3301 BUTLER ST","MILES CITY","MT","59301","","PL0002465557","On-Net","",""
"","3330 ROOSEVELT RD","SAINT CLOUD","MN","56301","","PL0001083407","On-Net","",""
"","3330 S 700 E","SALT LAKE CITY","UT","84106","","PL0000911514","On-Net","",""
"","3350 E. WESTCO PL.","TUCSON","AZ","85756","","PL0003541647","Off-Net","","3350 WESTCO PL"
"","3380 CAPITAL CIRCLE SOUTHWEST","TALLAHASSEE","FL","32310","","PL0003540011","On-Net","","3380 CAPITAL CIR SW"
"","3400 BUTTERFLY DRIVE NORTHWEST","BEMIDJI","MN","56601","","PL0001083494","On-Net","","3400 BUTTERFLY DR NW"
"","3410 SOUTH 51ST AVENUE","PHOENIX","AZ","85043","","PL0001084233","On-Net","","3410 S 51ST AVE"
"","3433 WEST 2400 S","WEST VALLEY","UT","84119","","PL0001082807","On-Net","",""
"","3450 S 59TH AVE","PHOENIX","AZ","85043","","PL0025018984","On-Net","",""
"","349 AMERICAN AVENUE","JEROME","ID","83338","","PL0037558048","On-Net","",""
"","3502 SOUTH 11TH STREET","COUNCIL BLUFFS","IA","51501","","PL0001083736","On-Net","","3502 S 11TH ST"
"","3514 GALT COURT","RAPID CITY","SD","57701","","PL0001084110","On-Net","",""
"","3535 HAZELTON RD","EDINA","MN","55435","","PL0001845585","On-Net","",""
"","3600 FIRE STATION SPUR","MEDFORD","OR","97504","","PL0000189228","On-Net","",""
"","3601 EVANS AVENUE","CHEYENNE","WY","82001","","PL0000980295","On-Net","",""
"","3632 FACTORIA BLVD SE","BELLEVUE","WA","98006","","PL0012135968","On-Net","",""
"","364 CIRCLE DRIVE","CASPER","WY","82601","","PL0001082816","On-Net","",""
"","3702 C ST NE","AUBURN","WA","98002","","PL0001576874","On-Net","",""
"","3720 SPIRIT DRIVE SE","ALBUQUERQUE","NM","87106","","PL0001082728","On-Net","",""
"","3751 MIDWAY ROAD","HERMANTOWN","MN","55810","","PL0001083590","On-Net","",""
"","3765 S GILBERT RD","GILBERT","AZ","85297","","PL0001314133","On-Net","",""
"","3800 WEICKER DRIVE","FORT COLLINS","CO","80524","","PL0000401085","On-Net","",""
"","3834 WEST 1580 NORTH","SALT LAKE CITY","UT","84116","","PL0003541675","On-Net","","3834 W 1580 N"
"","3847 31ST STREET NORTH","FARGO","ND","58102","","PL0002023543","On-Net","","3847 31ST ST N"
"","3850 WEST CHERRY CREEK ROAD","CAMP VERDE","AZ","86322","","PL0001090866","On-Net","",""
"","3885 MERCANTILE AVENUE","NAPLES","FL","34104","","PL0001082790","On-Net","",""
"","3935 AUMSVILLE HIGHWAY SE","SALEM","OR","97317","","PL0003541468","On-Net","",""
"","40 BELLEVUE WAY NE","BELLEVUE","WA","98004","","PL0001543266","On-Net","",""
"","4005 N MOORE ST","SPOKANE VALLEY","WA","99216","","PL0001084518","On-Net","",""
"","4062 INDUSTRY DRIVE","SIERRA VISTA","AZ","85635","","PL0001082827","On-Net","",""
"","412 BASTILLE","PAGOSA SPRINGS","CO","81147","","PL0001083224","On-Net","",""
"","4165 YELLOWSTONE AVE","CHUBBUCK","ID","83202","","PL0009268170","On-Net","",""
"","419 E. BRASHER ROAD","ROSWELL","NM","88203","","PL0003541633","On-Net","","419 E BRASHER RD"
"","420 BURRELL AVENUE","LEWISTON","ID","83501","","PL0001083204","On-Net","",""
"","4220 EAST BROADWAY AVENUE","SPOKANE","WA","99202","","PL0003541423","On-Net","","4220 E BROADWAY AVE"
"","427 GATEWAY","ASTORIA","OR","97103","","PL0003541476","On-Net","",""
"","4344 NORTH PORT CENTER WAY","PORTLAND","OR","97217","","PL0003541471","On-Net","",""
"","4373 MITCHELL WAY","BELLINGHAM","WA","98226","","PL0001082768","On-Net","",""
"","440 CROSSROADS DR SW","ROCHESTER","MN","55902","","PL0001200519","On-Net","",""
"","4400 INDUSTRY DRIVE","SIERRA VISTA","AZ","85635","","PL0003724863","On-Net","",""
"","4465 CHUDY WAY","MISSOULA","MT","59808","","PL0013591003","On-Net","",""
"","4475 NORTH 43RD AVENUE","PHOENIX","AZ","85031","","PL0001083195","On-Net","","4475 N 43RD AVE"
"","4493 EAST HIGHWAY 12","WILLMAR","MN","56201","","PL0001084062","On-Net","",""
"","45-480 KANEOHE BAY DR","KANEOHE","HI","96744","","PL0000012395","On-Net","",""
"","4575 LAREDO AVENUE","FORT MYERS","FL","33905","","PL0001083425","On-Net","",""
"","4621 TRAIL BOSS DR","CASTLE ROCK","CO","80104","","PL0003541741","On-Net","",""
"","4651 W 121ST AVE","BROOMFIELD","CO","80020","","PL0001578730","On-Net","",""
"","4655 TABLE ROCK ROAD","CENTRAL POINT","OR","97502","","PL0002466784","On-Net","",""
"","4700 HART ROAD","SANTA FE","NM","87507","","PL0001084297","On-Net","",""
"","4730 ELMORE AVE","DAVENPORT","IA","52807","","PL0011760936","On-Net","",""
"","4901 SOUTH ZUNI STREET","LITTLETON","CO","80120","","PL0001090902","On-Net","","4901 S ZUNI ST"
"","4929 HARBOR DRIVE","SIOUX CITY","IA","51111","","PL0001083456","On-Net","",""
"","4940 E RAY RD","PHOENIX","AZ","85044","","PL0000149507","On-Net","",""
"","5001 CURLEW COURT","MISSOULA","MT","59808","","PL0001084137","On-Net","",""
"","5001 N TEN MILE RD","MERIDIAN","ID","83646","","PL0010008840","On-Net","",""
"","5051 W FOUNDATION COURT","SIOUX FALLS","SD","57107","","PL0036196310","On-Net","",""
"","51 EASY STREET","PORT ANGELES","WA","98362","","PL0003541436","On-Net","",""
"","5135 CAROLINA BEACH ROAD","WILMINGTON","NC","28412","","PL0001568552","On-Net","",""
"","5159 NE CORNFOOT RD","PORTLAND","OR","97218","","PL0003538587","On-Net","",""
"","5178 RANDOLPH ROAD NE","MOSES LAKE","WA","98837","","PL0001084514","On-Net","",""
"","526 EAST 1750 NORTH","VINEYARD","UT","84057","","PL0001084466","On-Net","","526 E 1750 N"
"","5265 N SLOAN LANE","LAS VEGAS","NV","89115","","PL0025154964","On-Net","",""
"","5330 CEDAR LAKE RD S","ST LOUIS PARK","MN","55416","","PL0000995677","On-Net","",""
"","5345 NORTH DODGE AVENUE","FLAGSTAFF","AZ","86004","","PL0003541643","On-Net","","5345 N DODGE AVE"
"","5411 AL HAYNES DRIVE","SIOUX CITY","IA","51111","","PL0001083995","On-Net","",""
"","5515 N. INDUSTRIAL WAY","PASCO","WA","99301","","PL0000907426","On-Net","",""
"","5616 S REDWOOD RD","SALT LAKE CITY","UT","84123","","PL0003541672","On-Net","",""
"","5634 IMPERIAL WAY SW","BREMERTON","WA","98312","","PL0001090939","On-Net","",""
"","5657 E FRANKLIN RD","NAMPA","ID","83687","","PL0003541691","On-Net","",""
"","5700 100TH STREET SW","LAKEWOOD","WA","98499","","PL0000468529","On-Net","",""
"","5700 S PULLIAM DR","FLAGSTAFF","AZ","86005","","PL0001090946","On-Net","",""
"","58 SNELLING AVE S","SAINT PAUL","MN","55105","","PL0003542022","On-Net","",""
"","5890 NORTHEAST 22ND STREET","DES MOINES","IA","50313","","PL0001083606","On-Net","","5890 NE 22ND ST"
"","5901 S 226TH ST","KENT","WA","98032","","PL0003541454","On-Net","",""
"","5935 SURREY STREET","LAS VEGAS","NV","89119","","PL0003538610","On-Net","",""
"","5961 NORWICH AVE N","OAK PARK HEIGHTS","MN","55082","","PL0003542021","On-Net","",""
"","5963 CORSON AVE S","SEATTLE","WA","98108","","PL0000788501","On-Net","",""
"","599 NORTHTOWN DR NE","BLAINE","MN","55434","","PL0001045473","On-Net","",""
"","60 FRONTAGE RD","GRANGEVILLE","ID","83530","","PL0000531557","On-Net","",""
"","600 MITCHELSON STREET","ROCK SPRINGS","WY","82901","","PL0026873858","On-Net","",""
"","602 SKYLINE","LARAMIE","WY","82070","","PL0001082876","On-Net","",""
"","603 WEST 1550 SOUTH","SALINA","UT","84654","","PL0024953284","On-Net","","603 W 1550 S"
"","6090 WEST CRAIG RD","LAS VEGAS","NV","89130","","PL0003541631","On-Net","",""
"","6250 S 228TH ST","KENT","WA","98032","","PL0002699113","On-Net","",""
"","6280 ALTAMONT DRIVE","KLAMATH FALLS","OR","97603","","PL0003541461","On-Net","",""
"","635 OCOEE BUSINESS PARKWAY","OCOEE","FL","34761","","PL0033051213","On-Net","",""
"","6401 18TH AVENUE NORTH","GREAT FALLS","MT","59405","","PL0013829820","On-Net","","6401 18TH AVE N"
"","6435 CECILIA CIR","EDINA","MN","55439","","PL0003542008","On-Net","",""
"","6601 RAND WAY","KLAMATH FALLS","OR","97603","","PL0001083159","On-Net","",""
"","6610 SOUTH ELITE DRIVE","BOISE","ID","83716","","PL0025558638","On-Net","","6610 S ELITE DR"
"","6633 SOUTH 216TH STREET","KENT","WA","98032","","PL0001083306","On-Net","","6633 S 216TH ST"
"","701 33RD STREET","CODY","WY","82414","","PL0008288130","On-Net","",""
"","710 EAST MONROE AVENUE","RIVERTON","WY","82501","","PL0001083361","On-Net","","710 E MONROE AVE"
"","7101 EAST 128TH AVENUE","THORNTON","CO","80602","","PL0001578734","On-Net","","7101 E 128TH AVE"
"","7107 COMMERCIAL AVE","BILLINGS","MT","59101","","PL0003541995","On-Net","",""
"","711 43RD ST SE","WATERTOWN","SD","57201","","PL0003542000","On-Net","",""
"","7121 SOUTH 5TH AVENUE","POCATELLO","ID","83204","","PL0001084434","On-Net","","7121 S 5TH AVE"
"","724 NORTH INDUSTRIAL DRIVE #4B","CAMP VERDE","AZ","86322","","PL0035744930","On-Net","","724 N INDUSTRIAL DR"
"","725 OAKWOOD ROAD","WATERTOWN","SD","57201","","PL0001084029","On-Net","",""
"","7272 SOUTH JOLIET STREET","ENGLEWOOD","CO","80112","","PL0001082789","On-Net","","7272 S JOLIET ST"
"","7301 TANQUE VERDE RD","TUCSON","AZ","85715","","PL0000541491","On-Net","",""
"","7475 N LA CHOLLA BLVD","TUCSON","AZ","85741","","PL0000026328","On-Net","",""
"","750 NORTH 5600 WEST","SALT LAKE CITY","UT","84116","","PL0003541676","On-Net","","750 N 5600 W"
"","7555 MERIDIAN CIRCLE NORTH","MAPLE GROVE","MN","55369","","PL0001082752","On-Net","","7555 MERIDIAN CIR N"
"","7707 S KYRENE RD","TEMPE","AZ","85284","","PL0000819377","On-Net","",""
"","7741 GATEWAY LN NW","CONCORD","NC","28027","","PL0001317353","Off-Net","",""
"","78 BASIN CREEK RD","BUTTE","MT","59701","","PL0003541989","On-Net","",""
"","7820 29TH AVENUE NE","LACEY","WA","98516","","PL0001083325","On-Net","",""
"","7821 S MINNESOTA AVE","SIOUX FALLS","SD","57108","","PL0010691668","On-Net","",""
"","788 22 ROAD","GRAND JUNCTION","CO","81505","","PL0001083464","On-Net","",""
"","806 EAGLE DRIVE","GRAND JUNCTION","CO","81506","","PL0012376067","On-Net","",""
"","8094 FULLER STREET","CASPER","WY","82604","","PL0001090929","On-Net","",""
"","8101 WORLD CENTER DR","ORLANDO","FL","32821","","PL0001057951","On-Net","",""
"","814 MADISON STREET","GILLETTE","WY","82718","","PL0001082867","On-Net","",""
"","8190 ELWAY DR","MISSOULA","MT","59808","","PL0001090857","On-Net","",""
"","8300 CITY CENTRE DR","WOODBURY","MN","55125","","PL0003542018","On-Net","",""
"","831 NE NORTHGATE WAY","SEATTLE","WA","98125","","PL0003541445","On-Net","",""
"","8330 WILLOW ST","LONE TREE","CO","80124","","PL0003541740","On-Net","",""
"","8345 15TH AVE NW","SEATTLE","WA","98117","","PL0003541447","On-Net","",""
"","8377 E HARTFORD DR","SCOTTSDALE","AZ","85255","","PL0000074022","On-Net","",""
"","8404 AVIATION AVE","SPOKANE","WA","99224","","PL0035993667","Off-Net","",""
"","87 MT-16","GLENDIVE","MT","59330","","PL0001746398","On-Net","",""
"","8701 WORLD CENTER DR","ORLANDO","FL","32821","","PL0000016056","On-Net","",""
"","876 BLAINE STREET","HELENA","MT","59601","","PL0008288141","On-Net","",""
"","890 S 143RD AVE","GOODYEAR","AZ","85338","","PL0028136502","On-Net","",""
"","8955 KAPP DRIVE","PEOSTA","IA","52068","","PL0003542046","On-Net","",""
"","905 WEST BRUNDAGE LANE","SHERIDAN","WY","82801","","PL0001083330","On-Net","","905 W BRUNDAGE LN"
"","9301 E SHEA","SCOTTSDALE","AZ","85260","","PL0000064343","On-Net","",""
"","9301 PIPER RD","PUNTA GORDA","FL","33982","","PL0031223296","On-Net","",""
"","951 N 800 W","LOGAN","UT","84321","","PL0037983289","On-Net","",""
"","9513 192ND AVE E","BONNEY LAKE","WA","98391","","PL0003541434","On-Net","",""
"","98 WESTGATE STREET","LAS CRUCES","NM","88005","","PL0001083190","On-Net","",""
"","985 WEST KERSHAW STREET","OGDEN","UT","84401","","PL0025908187","On-Net","","985 W KERSHAW ST"
"","10 POST OFFICE SQ","BOSTON","MA","2109","","PL0000563463","On-Net","Duplicate",""
"","100 ABBOTT PARK RD","ABBOTT PARK","IL","60064","","PL0000039113","On-Net","Duplicate",""
"","100 PEACHTREE ST NW","ATLANTA","GA","30303","","PL0000069044","On-Net","Duplicate",""
"","1000 H STREET NW","WASHINGTON","DC","20001","","PL0000463127","On-Net","Duplicate",""
"","1000 KAMEHAMEHA HWY","PEARL CITY","HI","96782","","PL0000388815","On-Net","Duplicate",""
"","1000 OMEGA DRIVE","PITTSBURGH","PA","15205","","PL0000066713","On-Net","Duplicate",""
"","101 N WACKER DR","CHICAGO","IL","60606","","PL0000003482","On-Net","Duplicate",""
"","10400 LITTLE PATUXENT PKWY","COLUMBIA","MD","21044","","PL0000103072","On-Net","Duplicate",""
"","1098 FREDERICK BLVD","PORTSMOUTH","VA","23707","","PL0000314681","On-Net","Duplicate",""
"","110 WILLIAM ST","NEW YORK","NY","10038","","PL0000016057","On-Net","Duplicate",""
"","111 E WACKER DR","CHICAGO","IL","60601","","PL0000040363","On-Net","Duplicate",""
"","1111 E MAIN ST","RICHMOND","VA","23219","","PL0000069780","On-Net","Duplicate",""
"","1151 STONECREST BLVD","TEGA CAY","SC","29708","","PL0000440437","On-Net","Duplicate",""
"","11745 W INTERSTATE 10","SAN ANTONIO","TX","78230","","PL0024953193","Off-Net","Duplicate",""
"","11901 STANDIFORD PLAZA DR","LOUISVILLE","KY","40229","","PL0002084291","On-Net","Duplicate",""
"","120 MONUMENT CIR","INDIANAPOLIS","IN","46204","","PL0000009089","On-Net","Duplicate",""
"","1228 N HWY 377","ROANOKE","TX","76262","","PL0000904186","On-Net","Duplicate",""
"","12455 W CAPITOL DR","BROOKFIELD","WI","53005","","PL0000296366","On-Net","Duplicate",""
"","12520 OLIVE BLVD","CREVE COEUR","MO","63141","","PL0000658351","On-Net","Duplicate",""
"","12657 ALCOSTA BOULEVARD","SAN RAMON","CA","94583","","PL0000069320","On-Net","Duplicate",""
"","12981 SHELBYVILLE ROAD","MIDDLETOWN","KY","40243","","PL0000964386","On-Net","Duplicate",""
"","1340 AIRPORT COMMERCE DR","AUSTIN","TX","78741","","PL0000094831","On-Net","Duplicate",""
"","135 N LOS ROBLES AVE","PASADENA","CA","91101","","PL0000023565","On-Net","Duplicate",""
"","1350 BROADWAY","NEW YORK","NY","10018","","PL0000013947","On-Net","Duplicate",""
"","1375 PEACHTREE ST NE","ATLANTA","GA","30309","","PL0000081886","On-Net","Duplicate",""
"","1400 K ST NW","WASHINGTON","DC","20005","","PL0002899627","On-Net","Duplicate",""
"","1440 BROADWAY","NEW YORK","NY","10018","","PL0000080909","On-Net","Duplicate",""
"","1500 MARKET ST","PHILADELPHIA","PA","19102","","PL0000179426","On-Net","Duplicate",""
"","1501 US HIGHWAY 22","WATCHUNG","NJ","7069","","PL0001329734","On-Net","Duplicate",""
"","1544 OLD GREENSBORO ROAD","KERNERSVILLE","NC","27284","","PL0000087866","On-Net","Duplicate",""
"","1549 ROUTE 9","HALFMOON","NY","12065","","PL0000304402","On-Net","Duplicate",""
"","16241 S FARRELL RD","LOCKPORT","IL","60441","","PL0000207241","On-Net","Duplicate",""
"","1693 STRINGTOWN ROAD","GROVE CITY","OH","43123","","PL0000195558","On-Net","Duplicate",""
"","1825 K ST NW","WASHINGTON","DC","20006","","PL0000107505","On-Net","Duplicate",""
"","1850 M ST NW","WASHINGTON","DC","20036","","PL0000022420","On-Net","Duplicate",""
"","1850 NORTH ZARAGOZA ROAD","EL PASO","TX","79936","","PL0001555655","On-Net","Duplicate",""
"","1925 CENTURY PARK E","CENTURY CITY","CA","90067","","PL0000085333","On-Net","Duplicate",""
"","199 MAIN ST","BURLINGTON","VT","5401","","PL0000223343","On-Net","Duplicate",""
"","1999 BRYAN ST","DALLAS","TX","75201","","PL0000080253","On-Net","Duplicate",""
"","200 S BISCAYNE BLVD","MIAMI","FL","33131","","PL0000115733","On-Net","Duplicate",""
"","2020 K ST NW","WASHINGTON","DC","20006","","PL0000427758","On-Net","Duplicate",""
"","2050 N STEMMONS FWY","DALLAS","TX","75207","","PL0000025966","On-Net","Duplicate",""
"","21150 KUYKENDAHL RD","SPRING","TX","77379","","PL0000519795","On-Net","Duplicate",""
"","2181 PELHAM PKWY","PELHAM","AL","35124","","PL0001579687","On-Net","Duplicate",""
"","220 MONTGOMERY ST","SAN FRANCISCO","CA","94104","","PL0000018987","On-Net","Duplicate",""
"","2200 BRIARCREST DR","BRYAN","TX","77802","","PL0001556274","On-Net","Duplicate",""
"","2200 MISSION COLLEGE BLVD","SANTA CLARA","CA","95054","","PL0000466936","On-Net","Duplicate",""
"","2201 N STEMMONS FWY","DALLAS","TX","75207","","PL0000004893","On-Net","Duplicate",""
"","222 MERCHANDISE MART PLZ","CHICAGO","IL","60654","","PL0000085830","On-Net","Duplicate",""
"","2301 GLADES RD","BOCA RATON","FL","33431","","PL0000820717","On-Net","Duplicate",""
"","2350 S PLEASANT VALLEY ROAD","WINCHESTER","VA","22601","","PL0002125785","On-Net","Duplicate",""
"","2400 MARKET STREET","PHILADELPHIA","PA","19103","","PL0000407217","On-Net","Duplicate",""
"","250 E OLIVE AVE","BURBANK","CA","91502","","PL0000893401","On-Net","Duplicate",""
"","2501 NE CENTURY BLVD","HILLSBORO","OR","97124","","PL0035705955","Off-Net","Duplicate",""
"","25108 MARKET PLACE DR","KATY","TX","77494","","PL0000571640","On-Net","Duplicate",""
"","2552 W 75TH ST","NAPERVILLE","IL","60564","","PL0001498448","On-Net","Duplicate",""
"","25800 KUYKENDAHL RD","TOMBALL","TX","77375","","PL0008422999","On-Net","Duplicate",""
"","265 INDUSTRIAL PARK DR","BINGHAMTON","NY","13904","","PL0000009984","On-Net","Duplicate",""
"","279 TROY RD","RENSSELAER","NY","12144","","PL0000033460","On-Net","Duplicate",""
"","2800 OPRYLAND DR","NASHVILLE","TN","37214","","PL0000915981","On-Net","Duplicate",""
"","30 MONTGOMERY STREET","JERSEY CITY","NJ","7302","","PL0000010025","On-Net","Duplicate",""
"","303 2ND ST","SAN FRANCISCO","CA","94107","","PL0000035151","On-Net","Duplicate",""
"","3141 GARDEN ROAD","BURLINGTON","NC","27215","","PL0000338226","On-Net","Duplicate",""
"","3150 PARADISE RD","LAS VEGAS","NV","89109","","PL0000101355","On-Net","Duplicate",""
"","325 7TH ST NW","WASHINGTON","DC","20004","","PL0000812604","On-Net","Duplicate",""
"","3295 POPLAR AVE","MEMPHIS","TN","38111","","PL0000031199","On-Net","Duplicate",""
"","3300 STELZER RD","COLUMBUS","OH","43219","","PL0000003342","On-Net","Duplicate",""
"","333 E MAIN ST","LEXINGTON","KY","40507","","PL0000093663","On-Net","Duplicate",""
"","335 POWELL ST","SAN FRANCISCO","CA","94102","","PL0000744323","On-Net","Duplicate",""
"","340 N 3RD ST","PHOENIX","AZ","85004","","PL0000091297","On-Net","Duplicate",""
"","3400 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000678279","On-Net","Duplicate",""
"","3475 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0027214600","Off-Net","Duplicate",""
"","350 S GRAND AVE","LOS ANGELES","CA","90071","","PL0000034898","On-Net","Duplicate",""
"","350 SANSOME STREET","SAN FRANCISCO","CA","94104","","PL0000104414","On-Net","Duplicate",""
"","3555 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000093857","On-Net","Duplicate",""
